ID,Name,Image,Refrigerated,Frozen
VEG83,Sả băm,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,5,-1
SPI44,Sa tế,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI45,Sốt hoisin,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI46,Sốt Mayonnaise,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
MEA09,Sườn heo,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,60
MEA14,Sườn non,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,60
VEG84,Thanh quế,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,5,-1
VEG85,Thì là,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,5,-1
MEA10,Thịt ba chỉ,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,60
MEA11,Thịt bò,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,60
MEA12,Thịt gà,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,60
MEA13,Thịt heo bằm,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,60
VEG86,Thơm,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,5,-1
RIC09,Thuốc bắc,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI47,Tiêu,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI48,Tiêu sọ,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI49,Tiêu xanh,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,7,-1
SPI50,Tiêu xay,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI51,Tỏi,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,-1
SPI52,Tỏi băm,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,-1
SPI53,Tỏi phi,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,-1
SEA16,Tôm khô,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,10,-1
SEA17,Tôm tươi,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,14,-1
VEG87,Trái tắc,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,7,-1
EGG01,Trứng cút,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,10,-1
EGG02,Trứng gà,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,10,-1
EGG03,Trứng vịt,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,10,-1
SPI54,Tương cà,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,10,-1
SPI55,Tương ớt,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
VEG88,Xà lách,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,-1
VEG89,Xà lách xoong,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,-1
VEG90,Xoài chín,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,-1
SPI56,Xốt nêm thịt heo Knorr,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI57,Xốt rô-ti Barona,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
